ID,OrganizationName,OrganizationType,Address,Address2,City,State,ZipCode,OrgPhone,PCUseRestrictions,HardwarePublic,AssistiveTechnology,InternetUpload,InternetDownload,VolunteersUsed,VolunteersUsedHow,VolunteersWantedHow,Longitude,Latitude,PublicWiFiDetail,NearestParking,NearestParkingDetail,HandicapAccessDetail,PublicTransportationDetail,TimeAllowedPerUser,TimeAllowedPerUserDetail,RoomList,Hours,WEBSITE,HOURS,APPOINTMENT,INTERNET,WIFI,TRAINING
,OAI CTC,Community Technology Center,180 N Wabash Ave.  Suite 400,,Chicago,IL,60601,(312) 528-3501,,,,,,,,,,,,,,,,,,,,http://www.oaiinc.org,M-F: 8:30AM-4PM,,TRUE,TRUE,TRUE
,Officer Donald J. Marquez School,Community Technology Center,2916 W. 47th St.,,Chicago,IL,60632,(312) 432-6301,,,,,,,,,,,,,,,,,,,,http://unocharterschools.org/uscn_campuses.aspx,M-TH: 5PM-8PM,,TRUE,TRUE,TRUE
,Onward Neighborhood House,Community Technology Center,5423 W. Diversey Avenue,,Chicago,IL,60639,(312) 666-6726,,,,,,,,,,,,,,,,,,,,http://www.onwardhouse.org/,M-TH: 9AM-8PM; F: 12PM-8PM,,TRUE,FALSE,TRUE
,Poder Learning Center,Community Technology Center,1637 S. Allport St.,,Chicago,IL,60608,(312) 226-2002,,,,,,,,,,,,,,,,,,,,http://www.poderlc.org/,M-TH: 7:30AM-8:30PM; F: 7:30AM-5PM,,TRUE,FALSE,TRUE
,Polish American Association,Community Technology Center,3815 N. Cicero Ave,,Chicago,IL,60641,(773) 282-1122,,,,,,,,,,,,,,,,,,,,http://www.polish.org,"TU, TH: 9AM-6PM; W, F: 1PM-7PM; SA: 9AM-5PM",,TRUE,FALSE,TRUE
,Pui Tak Center,Community Technology Center,2216 S. Wentworth Avenue,,Chicago,IL,60616,(312) 328-1188,,,,,,,,,,,,,,,,,,,,http://www.puitak.org,M-TH: 8:30AM-7PM; F: 9AM-5PM; SA: 8:30AM-12:30PM,,TRUE,FALSE,TRUE
,Resurrection Lutheran Church,Community Technology Center,9349 S. Wentworth Avenue,,Chicago,IL,60620,(773) 928-6312,,,,,,,,,,,,,,,,,,,,http://resurrectionlutheranschool.com/,M-TH: 2PM-6PM,No,TRUE,TRUE,TRUE
,Rogers Park Computer Lab and Technology Center,Community Technology Center,1557 W. Howard,,Chicago,IL,60626,(773) 508-5885,,,,,,,,,,,,,,,,,,,,http://www.rogers-park.com,M-F: 9AM-5PM,Yes,TRUE,TRUE,TRUE
,Rufino Tamayo School (housed at St. Simon the Apostle Parish),Community Technology Center,5157 S. California,,Chicago,IL,60632,(312) 432-6301,,,,,,,,,,,,,,,,,,,,http://unocharterschools.org/uscn_campuses.aspx,W: 1PM-3PM; T-TH: 9AM-1PM & 5PM-9PM,,TRUE,TRUE,TRUE
,SER Little Village CTC,Community Technology Center,"3948 W. 26th Street, Suite 213",,Chicago,IL,60623,(773) 542-9030 x. 226,,,,,,,,,,,,,,,,,,,,http://www.centralstatesser.org,M-F: 8AM-6PM; SA: 9AM-12PM,No,TRUE,TRUE,TRUE
,South Loop CTC,Community Technology Center,1521 S. Wabash Ave,,Chicago,IL,60605,(312) 447-4681,,,,,,,,,,,,,,,,,,,,http://www.mercyhousing.org,M-F: 9AM-5PM,,TRUE,FALSE,TRUE
,Southeast Chicago Development Commission,Community Technology Center,2938 East 91st Street,,Chicago,IL,60617,(773) 731-8755,,,,,,,,,,,,,,,,,,,,http://www.southeastchicago.org/,M-F: 8AM-5PM; SA: 9AM-1PM,,TRUE,FALSE,TRUE
,St. Agatha Family Empowerment,Community Technology Center,3143 W. Douglas Boulevard,,Chicago,IL,60623,(773) 522-1354,,,,,,,,,,,,,,,,,,,,http://www.chicagoareaproject.org/,M-F: 12PM-6PM; SA: 10AM-1PM,,TRUE,TRUE,TRUE
,Street-Level Youth Media,Community Technology Center,2459 W. Augusta Blvd.,,Chicago,IL,60622,(773) 862-5331,,,,,,,,,,,,,,,,,,,,http://www.street-level.org,M-F: 3PM-6PM,,TRUE,TRUE,TRUE
,Sunshine Gospel Ministries,Community Technology Center,500 East 61st Street,,Chicago,IL,60637,(773) 493-0656 x. 1010,,,,,,,,,,,,,,,,,,,,http://www.sunshinegospel.org,M-F: 10AM-4PM,,TRUE,FALSE,TRUE
,The Cara Program (East Loop Campus),Community Technology Center,228 South Wabash,,Chicago,IL,60604,(312) 798-3327,,,,,,,,,,,,,,,,,,,,http://www.thecaraprogram.org,M-F: 9AM-5PM,,TRUE,FALSE,TRUE
,The Cara Program (West Loop Campus),Community Technology Center,703 West Monroe,,Chicago,IL,60661,(312) 798-3300,,,,,,,,,,,,,,,,,,,,http://www.thecaraprogram.org,M-F: 9AM-5PM,,TRUE,FALSE,TRUE
,Veterans Memorial High School,Community Technology Center,4248 W 47th St,,Chicago,IL,60632,(312) 432-6301,,,,,,,,,,,,,,,,,,,,http://unocharterschools.org/uscn_campuses.aspx,M-TH: 5PM-8PM,,TRUE,TRUE,TRUE
,Wentworth Commons CTC,Community Technology Center,11045 S. Wentworth Ave,,Chicago,IL,60628,(312) 447-4640,,,,,,,,,,,,,,,,,,,,http://www.mercyhousing.org,"M, W, F: 9AM-4PM; TU, TH: 10AM-6PM; SA: 2PM-6PM",,TRUE,FALSE,TRUE
,Westside Youth Technical Entrepreneur Center,Community Technology Center,4211-13 West Madison,,Chicago,IL,60624,(773) 533-3500,,,,,,,,,,,,,,,,,,,,http://www.WYTEC4213.org,M-F: 11AM-7PM,,TRUE,TRUE,TRUE
,WHA-Business and Human Resource Center,Community Technology Center,4800 West Chicago Avenue,,Chicago,IL,60651,(773) 786-0148,,,,,,,,,,,,,,,,,,,,http://www.healthauthority.org,M-F: 7AM-7PM,,TRUE,FALSE,TRUE
,WHA-Community Tech Center,Community Technology Center,5417 West Division Street,,Chicago,IL,60651,(773) 378-1878,,,,,,,,,,,,,,,,,,,,http://www.healthauthority.org,M-F: 9AM-8PM,,TRUE,TRUE,TRUE
,WHA-Youth Technology Center,Community Technology Center,5437 West Division Street,,Chicago,IL,60651,(773) 378-5034,,,,,,,,,,,,,,,,,,,,http://www.healthauthority.org,M-F: 9AM-7PM,,TRUE,TRUE,TRUE
,Workforce Development Office CTC,Community Technology Center,2610 W. North Ave. 2nd Flr.,,Chicago,IL,60647,(773) 862-1892,,,,,,,,,,,,,,,,,,,,http://www.hhdc.org,M-TH: 9AM-7:30PM; F: 12:30PM-4:30PM,Yes,TRUE,FALSE,TRUE
,YWCA Parks Francis Community Technology Center,Community Technology Center,6600 S. Cottage Grove,,Chicago,IL,60637,(773) 496-5619,,,,,,,,,,,,,,,,,,,,http://www.ywcachicago.org,M-F: 9AM-8PM,,TRUE,TRUE,TRUE
,63rd Street Corridor CWF Metropolitan Family Services,FamilyNet Center,"747 W. 63rd St., Bldg. V, Room 106",,Chicago,IL,60621,(773) 487-3723,,,,,,,,,,,,,,,,,,,,http://www.englewoodportal.org,M-F: 9AM - 6PM; SA: 10AM - 2PM (Open 1st and 3rd Sat of each month),yes,TRUE,FALSE,TRUE
,Association House,FamilyNet Center,1116 N. Kedzie Ave,,Chicago,IL,60657,"(773) 772-7170, x. 3103",,,,,,,,,,,,,,,,,,,,http://www.humboldtparkportal.org,M-F: 9a -5p; Sat 9a - 2p,yes,TRUE,FALSE,TRUE
,Chicago Commons,FamilyNet Center,3441 W. Chicago Ave,,Chicago,IL,60651,(773) 826-0739,,,,,,,,,,,,,,,,,,,,http://www.humboldtparkportal.org,M-F 9a -5p,yes,TRUE,FALSE,TRUE
,Instituto Del Progreso,FamilyNet Center,2570 S. Blue Island,,Chicago,IL,60608,(773) 890-0055,,,,,,,,,,,,,,,,,,,,http://www.pilsenportal.org,"M, T, W, F: 8AM-5PM; TH 8AM -7PM; SA, SU: Closed",yes,TRUE,FALSE,TRUE
,Southwest REACH Center,FamilyNet Center,6155 S. Pulaski Rd.,,Chicago,IL,60629,(773) 735-6727,,,,,,,,,,,,,,,,,,,,http://www.chicagolawnportal.org,"M-F: 9AM - 5PM; SA, SU: Closed",yes,TRUE,FALSE,TRUE
,St. Sabina Employment Resource Center,FamilyNet Center,7909 S. Racine St.,,Chicago,IL,60620,(773) 347-0024,,,,,,,,,,,,,,,,,,,,http://www.auburngreshamportal.org,"M, T: 9AM-5PM; W, TH, F: 9AM -8PM; SA 9AM - 1PM; SU: Closed",yes,TRUE,FALSE,TRUE
,Abbot Park Satellite Center,Senior Center,49 E. 95th St.,,Chicago,IL,60619,(312) 745-3493,,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/fss/supp_info/satellite_centerinformation.html,M-F: 8:30AM-4:30PM; SA-SU: Closed,Yes,FALSE,FALSE,TRUE
,Auburn Gresham Satellite Center,Senior Center,1040 W. 79th St.,,Chicago,IL,60620,(312) 745-4798,,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/fss/provdrs/senior/svcs/regional_senior_centers.html,Call for hours,Yes,FALSE,FALSE,TRUE
,Austin Satellite Center,Senior Center,5071 W. Congress Pkwy,,Chicago,IL,60644,(312) 743-1538,,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/fss/supp_info/satellite_centerinformation.html,M-F: 8:30AM-4:30PM; SA-SU: Closed,Yes,FALSE,FALSE,TRUE
,Central West Center,Senior Center,2102 W. Ogden,,Chicago,IL,60612,(312) 746-5300 (Voice) or (312) 746-0321 (TTY),,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/fss/supp_info/regional_center_information.html,Call for hours,No,TRUE,FALSE,TRUE
,Chatham Satellite Center,Senior Center,8300 S. Cottage Grove,,Chicago,IL,60619,(312) 745-0385,,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/fss/supp_info/satellite_centerinformation.html,M-F: 8:30AM-4:30PM; SA-SU: Closed,Yes,TRUE,FALSE,TRUE
,Englewood Satellite Center,Senior Center,653 W. 63rd St.,,Chicago,IL,60621,(312) 745-3328,,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/fss/supp_info/satellite_centerinformation.html,M-F: 8:30AM-4:30PM; SA-SU: Closed,Yes,TRUE,FALSE,TRUE
,Garfield Ridge Satellite Center,Senior Center,5674 S. Archer Ave,,Chicago,IL,60638,(312) 745-4250,,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/fss/supp_info/satellite_centerinformation.html,M-F: 8:30AM-3PM; SA-SU: Closed,Yes,TRUE,FALSE,TRUE
,North Center Satellite Center,Senior Center,4040 N. Oakley Ave,,Chicago,IL,60618,(312) 745-4029,,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/fss/supp_info/satellite_centerinformation.html,Call,Yes,TRUE,FALSE,TRUE
,Northeast (Levy) Senior Center,Senior Center,2019 W. Lawrence Avenue,,Chicago,IL,60625,Mike Toma at (312) 742-2630 or Court Chilton at (312) 742-2623,,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/fss/supp_info/regional_center_information.html,Call,No,TRUE,FALSE,TRUE
,Northwest (Copernicus) Senior Center,Senior Center,3160 N. Milwaukee Avenue,,Chicago,IL,60618,(312) 744-6681 (Voice) or (312) 744-0321 (TTY),,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/fss/supp_info/regional_center_information.html,Call,No,TRUE,FALSE,TRUE
,Portage Park Satellite Center,Senior Center,4100 N. Long,,Chicago,IL,60641,(312) 744-9022,,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/fss/supp_info/satellite_centerinformation.html,M-F: 8:30AM-4:30PM; SA-SU: Closed,Yes,TRUE,FALSE,TRUE
,Renaissance Court,Senior Center,78 E. Washington,,Chicago,IL,60602,(312) 744-4550 (Voice) or (312) 744-6777 (TTY),,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/fss/supp_info/regional_center_information.html,Call,No,TRUE,FALSE,TRUE
,Southeast Center (Atlas),Senior Center,1767 E. 79th St.,,Chicago,IL,60649,(312) 747-0189 (Voice) or (312) 746-0322 (TTY),,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/fss/supp_info/regional_center_information.html,Call,No,TRUE,FALSE,TRUE
,Southwest Center,Senior Center,6117 S. Kedzie,,Chicago,IL,60629,(312) 747-0440 (Voice) or (312) 746-0323 (TTY),,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/fss/supp_info/regional_center_information.html,Call,No,TRUE,FALSE,TRUE
,West Town Satellite Center,Senior Center,1613 W. Chicago Ave.,,Chicago,IL,60622,(312) 743-1016,,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/fss/supp_info/satellite_centerinformation.html,M-F: 9AM-4PM; SA-SU: Closed,Yes,TRUE,FALSE,TRUE
,Center for Green Technology,Wireless Internet Zone,445 N. Sacramento Boulevard,,Chicago,IL,60612,NA,,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/doe/provdrs/ccgt.html,Wireless access is available 24 hours a day 7 days a week.,No,FALSE,TRUE,FALSE
,Chicago Cultural Center,Wireless Internet Zone,78 E Washington Street,,Chicago,IL,60602,NA,,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/doit/supp_info/wireless_internetzones.html,Wireless access is available 24 hours a day 7 days a week.,No,FALSE,TRUE,FALSE
,Daley Center Plaza,Wireless Internet Zone,50 W. Washington Street,,Chicago,IL,60602,NA,,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/doit/supp_info/wireless_internetzones.html,Wireless access is available 24 hours a day 7 days a week.,No,FALSE,TRUE,FALSE
,Federal Plaza,Wireless Internet Zone,230 S. Dearborn Street,,Chicago,IL,60603,NA,,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/doit/supp_info/wireless_internetzones.html,Wireless access is available 24 hours a day 7 days a week.,No,FALSE,TRUE,FALSE
,Gallery 37,Wireless Internet Zone,66 E Randolph Street,,Chicago,IL,60601,NA,,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/doit/supp_info/wireless_internetzones.html,Wireless access is available 24 hours a day 7 days a week.,No,FALSE,TRUE,FALSE
,Millennium Park,Wireless Internet Zone,55 N Michigan Avenue,,Chicago,IL,60602,NA,,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/doit/supp_info/wireless_internetzones.html,Wireless access is available 24 hours a day 7 days a week.,No,FALSE,TRUE,FALSE
,Thompson Center Plaza,Wireless Internet Zone,100 W. Randolph Street,,Chicago,IL,60601,NA,,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/doit/supp_info/wireless_internetzones.html,Wireless access is available 24 hours a day 7 days a week.,No,FALSE,TRUE,FALSE
,CARES Chicago,WorkForce Center,"3333 W. Arthington, Suite 139",,Chicago,IL,60624,(773) 265-3300,,,,,,,,,,,,,,,,,,,,http://www.careschicago.org/,Call,NA,TRUE,FALSE,TRUE
,Chicago Career Center,WorkForce Center,11000 S. Michigan,,Chicago,IL,60628,(773) 233-4364,,,,,,,,,,,,,,,,,,,,http://www.southeastchicago.com/,Call,NA,TRUE,FALSE,TRUE
,Chicago Federation of Labor,WorkForce Center,130 W. Randolph,,Chicago,IL,60601,(312) 565-9431,,,,,,,,,,,,,,,,,,,,http://www.chicagolabor.org/,Call,NA,TRUE,FALSE,TRUE
,Chicago Workforce Center - Garfield,WorkForce Center,"10 S. Kedzie, Room 134",,Chicago,IL,60612,(773) 722-3885 (Voice or (773) 722-6081(TTY),,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/fss/supp_info/chicago_workforcecenters-servicesforjobseekers.html,M-TH: 9AM (Orientation),Yes,TRUE,FALSE,TRUE
,Chicago Workforce Center - Mid-South,WorkForce Center,4314 S. Cottage Grove,,Chicago,IL,60653,(773) 538-5627 (Voice) or (773) 538-8260 (TTY),,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/fss/supp_info/chicago_workforcecenters-servicesforjobseekers.html,M-TH: 8:45AM (Orientation),Yes,TRUE,FALSE,TRUE
,Chicago Workforce Center - Northside,WorkForce Center,4740 N. Sheridan,,Chicago,IL,60640,(773) 334-4747 (Voice) or (773) 334-9804 (TTY),,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/fss/supp_info/chicago_workforcecenters-servicesforjobseekers.html,M-TH: 9AM (Orientation),Yes,TRUE,FALSE,TRUE
,Chicago Workforce Center - Southwest,WorkForce Center,"7500 S. Pulaski, Bldg 100",,Chicago,IL,60652,(773) 884-7000 (Voice) or (773) 884-0269 (TTY),,,,,,,,,,,,,,,,,,,,http://www.cityofchicago.org/city/en/depts/fss/supp_info/chicago_workforcecenters-servicesforjobseekers.html,M-TH: 8:30AM (Orientation),Yes,TRUE,FALSE,TRUE
,Greater West Town Development Corporation,WorkForce Center,790 N. Milwaukee,,Chicago,IL,60622,(312) 432-1300,,,,,,,,,,,,,,,,,,,,http://www.gwtp.org/programs.html,Call,NA,TRUE,FALSE,TRUE
,Heartland Human Care Services,WorkForce Center,"3500 S. Lake Park, 1 West",,Chicago,IL,60653,(312) 660-1890 x. 6421,,,,,,,,,,,,,,,,,,,,http://www.heartlandalliance.org/,Call,NA,TRUE,FALSE,TRUE
,Howard Area Community Center,WorkForce Center,1623 W. Howard,,Chicago,IL,60626,(773) 262-3515,,,,,,,,,,,,,,,,,,,,http://www.howardarea.org/,Call,NA,TRUE,FALSE,TRUE
,Inspiration Corporation,WorkForce Center,"4554 N. Broadway, Suite 207",,Chicago,IL,60640,(773) 878-0981,,,,,,,,,,,,,,,,,,,,http://www.inspirationcorp.org/,Call,NA,TRUE,FALSE,TRUE
,Polish American Association,WorkForce Center,3815-3819 N. Cicero,,Chicago,IL,60641,(773) 282-1122,,,,,,,,,,,,,,,,,,,,http://www.polish.org/,"TU, TH: 9AM-2PM and 3PM-5:45PM; W, F: 1PM-2PM; 3PM-6:45PM; SA: 9AM-2PM and 3PM-4:45PM; SU-M: Closed",NA,TRUE,FALSE,TRUE
,Polish American Association,WorkForce Center,6276 W. Archer,,Chicago,IL,60638,(773) 767-7773,,,,,,,,,,,,,,,,,,,,http://www.polish.org/,"TU-TH 1PM-8:45PM; SA: 10AM-5:45PM; M, F, SU: Closed",NA,TRUE,FALSE,TRUE
,Safer Foundation,WorkForce Center,571 W. Jackson,,Chicago,IL,60661,(312) 922-2200,,,,,,,,,,,,,,,,,,,,http://www.saferfoundation.org/viewpage.asp?id=4,Call,NA,TRUE,FALSE,TRUE
,Ser Services Inc.,WorkForce Center,"3948 W. 26th St., Suite 213",,Chicago,IL,60623,(773) 542-9030 x. 250,,,,,,,,,,,,,,,,,,,,http://www.centralstatesser.org/,Call,NA,TRUE,FALSE,TRUE
,YMCA of Metropolitan Chicago,WorkForce Center,11 E. Adams,,Chicago,IL,60603,(312) 913-2150,,,,,,,,,,,,,,,,,,,,http://www.ymcachgo.org/,Call,NA,TRUE,FALSE,TRUE
,YCDC Association House,Youth Center,1116 N. Kedzie Ave.,,Chicago,IL,60651,(773) 772-7170,,,,,,,,,,,,,,,,,,,,http://www.associationhouse.org,Call for hours,No,TRUE,FALSE,TRUE
,YCDC Boys and Girls Club,Youth Center,2950 W. Washington Blvd.,,Chicago,IL,60612,(773) 376-6847 x. 4717 or (773) 638-5464 x. 4813,,,,,,,,,,,,,,,,,,,,http://www.bgcc.org/,Call for hours,No,TRUE,FALSE,TRUE
,YCDC Center on Halsted,Youth Center,3656 N. Halsted,,Chicago,IL,60613,(773) 472-6469,,,,,,,,,,,,,,,,,,,,http://www.centeronhalsted.org/,Call for hours,No,TRUE,FALSE,TRUE
,YCDC Central States SER,Youth Center,3948 W. 26th St.,,Chicago,IL,60623,(773) 542-9030 x. 257,,,,,,,,,,,,,,,,,,,,http://www.centralstatesser.org/,Call for hours,No,TRUE,FALSE,TRUE
,YCDC Community Assistance Programs,Youth Center,11444 S. Halsted St.,,Chicago,IL,60628,(773) 568-1782 or (773) 468-1993,,,,,,,,,,,,,,,,,,,,http://www.capsinc.org/,Call for hours,No,TRUE,FALSE,TRUE
,YCDC The Beloved Community St. Sabina,Youth Center,7909 S. Racine Ave.,,Chicago,IL,60620,(773) 783-3760,,,,,,,,,,,,,,,,,,,,http://www.belovedcommunitychicago.org/,Call for hours,No,TRUE,FALSE,TRUE
